article_id,blank,calendar_week,id,in_production,net_raw_demand,preview_0,preview_1,preview_10,preview_11,preview_12,preview_13,preview_14,preview_15,preview_2,preview_3,preview_4,preview_5,preview_6,preview_7,preview_8,preview_9,preview_sum,produce_with_blank,production_demand,stock,total_demand,week_cos,week_sin,year
24994,0,1,51543,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,119,0,500,260,119,0.992708874098054,0.12053668025532305,2024
26523,0,1,51896,0,1336,0,0,0,645,303,0,0,0,0,0,0,534,0,444,0,240,2166,0,2000,830,2166,0.992708874098054,0.12053668025532305,2024
26524,0,1,51426,0,405,300,0,0,561,0,0,0,0,0,433,0,0,0,441,0,0,1735,0,1000,1030,1435,0.992708874098054,0.12053668025532305,2024
27042,0,1,52586,0,42,0,0,0,0,0,0,0,0,0,792,0,0,0,0,0,0,792,1,1000,750,792,0.992708874098054,0.12053668025532305,2024
27184,0,1,50904,0,4685,0,612,4370,0,0,0,0,0,0,2448,0,662,1193,0,0,0,9285,0,6000,4600,9285,0.992708874098054,0.12053668025532305,2024
26410,0,1,50513,0,6877,3060,0,1360,2040,1020,0,0,0,0,0,7139,1700,680,1020,1700,1700,21419,0,9000,11482,18359,0.992708874098054,0.12053668025532305,2024
26984,0,1,51001,0,302,0,756,756,0,0,0,0,0,0,0,0,1890,0,0,0,0,3402,1,1000,3100,3402,0.992708874098054,0.12053668025532305,2024
28269,1,1,52915,0,618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618,7530,6490,0.992708874098054,0.12053668025532305,2024
26526,0,1,50464,0,996,0,0,0,0,0,0,0,0,0,2040,0,0,0,0,0,1360,3400,0,2000,2404,3400,0.992708874098054,0.12053668025532305,2024
28325,0,1,50347,0,164,0,0,0,0,291,0,0,0,291,0,0,0,0,0,0,0,582,0,1000,418,582,0.992708874098054,0.12053668025532305,2024
26433,0,1,51733,0,818,0,0,0,396,0,0,0,0,476,0,0,238,0,317,0,396,1823,0,1500,1005,1823,0.992708874098054,0.12053668025532305,2024
28119,0,1,50335,0,527,190,0,0,13,0,0,0,0,164,0,0,530,0,0,0,0,897,1,1000,180,707,0.992708874098054,0.12053668025532305,2024
26543,0,1,52103,0,979,0,0,0,353,0,0,0,0,0,0,706,0,0,0,0,0,1059,0,2000,80,1059,0.992708874098054,0.12053668025532305,2024
26478,0,1,51157,0,870,0,0,0,346,0,0,0,0,0,864,0,0,0,0,0,0,1210,1,2000,340,1210,0.992708874098054,0.12053668025532305,2024
26462,0,1,51681,0,479,0,346,173,0,0,0,0,0,0,0,0,0,0,0,0,0,519,1,1000,40,519,0.992708874098054,0.12053668025532305,2024
25416,0,1,50755,0,1190,0,820,0,0,0,0,0,0,0,0,0,0,0,2610,0,0,3430,0,2000,2240,3430,0.992708874098054,0.12053668025532305,2024
25419,0,1,50983,0,1460,0,0,1130,0,0,0,0,0,0,0,830,0,0,0,0,0,1960,0,2000,500,1960,0.992708874098054,0.12053668025532305,2024
26545,0,1,50415,0,387,387,0,0,0,0,0,0,0,0,0,0,0,387,0,0,0,774,1,1000,0,387,0.992708874098054,0.12053668025532305,2024
26445,0,1,51211,0,963,0,0,0,0,0,0,0,0,0,0,0,0,1383,0,0,0,1383,0,2000,420,1383,0.992708874098054,0.12053668025532305,2024
25415,0,1,52826,0,1100,0,0,0,1140,0,0,0,0,0,0,1190,0,0,0,0,0,2330,0,2000,1230,2330,0.992708874098054,0.12053668025532305,2024
26530,0,1,51086,0,540,0,0,0,0,0,0,0,0,0,0,540,0,0,0,0,0,540,1,1000,0,540,0.992708874098054,0.12053668025532305,2024
26461,0,1,50535,0,1610,0,720,600,0,480,0,0,0,0,600,120,600,600,360,480,0,4560,0,2500,2950,4560,0.992708874098054,0.12053668025532305,2024
25445,0,1,50240,0,1210,0,0,0,0,0,330,0,0,0,0,1800,0,0,0,0,0,2130,1,2000,920,2130,0.992708874098054,0.12053668025532305,2024
26571,0,1,51271,0,630,0,0,0,126,0,0,0,0,0,0,0,504,0,0,0,0,630,1,1000,0,630,0.992708874098054,0.12053668025532305,2024
26566,0,1,51491,0,504,0,0,0,0,126,0,0,0,378,0,0,0,0,0,0,0,504,1,1000,0,504,0.992708874098054,0.12053668025532305,2024
26542,0,1,52031,0,404,0,0,0,202,0,0,0,0,0,202,0,0,0,0,0,0,404,1,1000,0,404,0.992708874098054,0.12053668025532305,2024
26501,0,1,52009,0,1556,0,0,346,0,0,0,0,0,0,864,0,346,0,0,0,0,1556,1,2000,0,1556,0.992708874098054,0.12053668025532305,2024
26494,0,1,52282,0,1211,0,346,0,0,0,173,0,0,0,0,346,0,0,0,346,0,1211,1,2000,0,1211,0.992708874098054,0.12053668025532305,2024
27503,0,1,50406,0,319,0,208,377,0,0,0,0,0,0,0,0,384,0,0,0,0,969,1,1000,650,969,0.992708874098054,0.12053668025532305,2024
26981,0,1,52192,0,0,0,0,0,0,0,0,0,0,450,0,0,0,450,0,0,0,900,0,1000,1040,900,0.992708874098054,0.12053668025532305,2024
25732,0,1,52599,0,2390,3087,0,0,1496,0,0,0,0,0,2344,0,0,0,0,3100,0,10027,0,3000,4550,6940,0.992708874098054,0.12053668025532305,2024
27533,1,1,52965,0,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,1000,900,0.992708874098054,0.12053668025532305,2024
27499,0,1,51146,0,989,0,0,0,0,0,0,0,0,0,0,0,851,0,0,0,618,1469,0,2000,480,1469,0.992708874098054,0.12053668025532305,2024
26475,0,1,50658,0,519,0,0,0,0,0,0,0,0,346,0,0,0,0,0,173,0,519,1,1000,0,519,0.992708874098054,0.12053668025532305,2024
24651,0,1,51404,0,511,0,0,0,0,0,0,0,0,1445,0,0,0,0,0,1316,0,2761,1,2500,2250,2761,0.992708874098054,0.12053668025532305,2024
26434,0,1,51817,0,1955,624,250,0,624,0,0,0,0,0,0,749,0,1248,0,0,624,4119,0,2500,1540,3495,0.992708874098054,0.12053668025532305,2024
24489,0,1,51977,0,341,0,0,0,341,0,0,0,0,660,0,418,0,32,520,0,0,1971,0,1000,1630,1971,0.992708874098054,0.12053668025532305,2024
26476,0,1,51749,0,704,0,0,0,0,0,0,0,0,0,749,0,0,0,375,0,0,1124,0,1000,420,1124,0.992708874098054,0.12053668025532305,2024
27765,0,1,51836,0,457,0,0,0,0,0,0,0,0,0,189,0,0,189,0,0,189,567,1,1000,110,567,0.992708874098054,0.12053668025532305,2024
28824,0,1,51584,0,1024,0,1480,0,0,1308,0,0,0,756,0,0,0,0,0,0,0,3544,0,1000,2520,3544,0.992708874098054,0.12053668025532305,2024
27071,0,1,50141,0,0,0,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,0,1000,700,560,0.992708874098054,0.12053668025532305,2024
24539,0,1,50149,0,769,0,769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,769,1,2000,0,769,0.992708874098054,0.12053668025532305,2024
24647,0,1,52789,0,455,0,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,0,1000,70,525,0.992708874098054,0.12053668025532305,2024
24631,0,1,50769,0,32,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,32,1,500,0,32,0.992708874098054,0.12053668025532305,2024
26747,0,1,51280,0,89,0,0,0,0,0,0,0,0,0,317,0,0,0,0,0,0,317,0,500,228,317,0.992708874098054,0.12053668025532305,2024
27545,1,1,53044,0,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427,1050,931,0.992708874098054,0.12053668025532305,2024
28969,0,1,52310,0,1977,0,0,0,530,0,511,0,0,1210,782,0,725,0,460,0,549,4767,0,2000,2790,4767,0.992708874098054,0.12053668025532305,2024
26826,0,1,52248,0,195,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,1,1000,0,195,0.992708874098054,0.12053668025532305,2024
26829,0,1,52755,0,292,0,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,1,1000,0,292,0.992708874098054,0.12053668025532305,2024
26756,0,1,50836,0,353,0,0,0,0,0,0,0,0,0,353,0,0,0,0,0,0,353,1,1000,0,353,0.992708874098054,0.12053668025532305,2024
26761,0,1,50858,0,215,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0,0,215,1,1000,0,215,0.992708874098054,0.12053668025532305,2024
26817,0,1,52689,0,236,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,236,1,1000,0,236,0.992708874098054,0.12053668025532305,2024
26785,0,1,52406,0,0,0,808,0,0,0,0,0,0,0,0,746,0,0,0,0,0,1554,0,500,1980,1554,0.992708874098054,0.12053668025532305,2024
27736,0,1,50260,0,269,0,0,0,0,0,0,0,0,0,1011,0,0,0,1878,0,0,2889,0,500,2620,2889,0.992708874098054,0.12053668025532305,2024
27913,0,1,52489,0,0,0,0,0,0,0,0,0,0,0,0,347,0,0,0,0,0,347,0,1000,514,347,0.992708874098054,0.12053668025532305,2024
27942,0,1,52383,0,12,0,126,0,0,39,0,0,0,0,54,0,0,0,0,83,0,302,0,500,290,302,0.992708874098054,0.12053668025532305,2024
24858,0,1,52518,0,51,0,0,0,0,0,0,0,0,0,243,0,212,0,0,0,246,701,0,500,650,701,0.992708874098054,0.12053668025532305,2024
26473,0,1,50737,0,7,0,0,0,0,0,0,0,0,0,0,0,0,179,0,90,0,269,0,500,262,269,0.992708874098054,0.12053668025532305,2024
24894,0,1,51349,0,59,0,0,238,0,119,0,0,0,357,357,0,0,0,238,0,0,1309,0,500,1250,1309,0.992708874098054,0.12053668025532305,2024
24838,0,1,51393,0,254,0,0,0,0,0,0,0,0,0,0,0,934,0,0,0,0,934,0,1000,680,934,0.992708874098054,0.12053668025532305,2024
27063,0,1,51955,0,0,0,0,532,0,0,0,0,0,0,2683,0,0,0,0,0,0,3215,0,1000,3277,3215,0.992708874098054,0.12053668025532305,2024
27051,0,1,50217,0,158,0,0,0,0,0,0,0,0,0,0,0,1018,0,0,0,0,1018,0,500,860,1018,0.992708874098054,0.12053668025532305,2024
26122,0,1,50690,0,0,0,0,0,0,0,0,0,0,0,0,0,357,0,0,0,0,357,0,500,408,357,0.992708874098054,0.12053668025532305,2024
25128,0,1,50969,0,859,0,0,0,0,538,0,0,0,0,2791,0,0,0,0,0,0,3329,0,2000,2470,3329,0.992708874098054,0.12053668025532305,2024
26038,0,1,51103,0,1844,0,0,7,857,920,0,0,0,0,416,423,0,0,7,120,0,2750,0,3000,906,2750,0.992708874098054,0.12053668025532305,2024
24901,0,1,52666,0,1852,0,13,0,1259,0,0,0,0,5711,4,0,533,0,2105,0,0,9625,0,3000,7773,9625,0.992708874098054,0.12053668025532305,2024
25666,0,1,50303,0,2304,0,0,0,0,0,909,0,0,2448,804,0,0,0,1372,0,1181,6714,0,3000,4410,6714,0.992708874098054,0.12053668025532305,2024
27480,0,1,52133,0,188,0,0,0,0,0,0,145,0,0,0,0,142,0,0,0,51,338,0,500,150,338,0.992708874098054,0.12053668025532305,2024
25688,0,1,50089,0,2455,1550,0,0,0,0,344,0,0,0,0,0,1427,0,1768,0,1267,6356,0,3500,2351,4806,0.992708874098054,0.12053668025532305,2024
25005,0,1,50086,0,375,0,0,0,0,0,108,0,0,0,0,0,559,0,0,378,0,1045,0,1000,670,1045,0.992708874098054,0.12053668025532305,2024
28373,0,1,50100,0,913,0,0,0,0,0,0,742,0,0,371,0,866,0,0,0,0,1979,0,2000,1066,1979,0.992708874098054,0.12053668025532305,2024
29171,0,1,50094,0,458,0,183,0,0,0,0,82,0,0,0,0,0,536,57,0,0,858,0,1000,400,858,0.992708874098054,0.12053668025532305,2024
28920,0,1,50095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,1000,100,7,0.992708874098054,0.12053668025532305,2024
27524,0,1,50083,3000,0,681,0,0,271,423,0,0,0,640,0,1510,0,596,0,281,593,4995,0,0,4239,4314,0.992708874098054,0.12053668025532305,2024
27806,0,1,50084,0,127,140,0,0,0,7,0,0,0,0,0,0,120,0,0,0,0,267,1,1000,0,127,0.992708874098054,0.12053668025532305,2024
27222,0,1,50085,0,481,0,0,0,0,0,0,0,0,0,481,0,0,0,0,0,0,481,1,2500,0,481,0.992708874098054,0.12053668025532305,2024
27777,0,1,50087,0,0,0,0,0,0,31,0,0,0,0,0,0,0,1740,0,0,4012,5783,0,0,10660,5783,0.992708874098054,0.12053668025532305,2024
28410,0,1,50088,0,0,0,0,0,0,0,300,0,0,360,0,190,0,0,0,0,280,1130,0,0,1470,1130,0.992708874098054,0.12053668025532305,2024
26801,0,1,50090,1500,0,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0,0,303,0,0,1750,303,0.992708874098054,0.12053668025532305,2024
25227,0,1,50091,0,0,0,0,0,0,108,0,0,0,0,328,0,0,0,505,0,0,941,0,0,1200,941,0.992708874098054,0.12053668025532305,2024
24545,0,1,50092,10000,0,0,0,7,0,0,1545,0,0,0,4975,0,2361,0,0,0,1892,10780,0,0,13780,10780,0.992708874098054,0.12053668025532305,2024
26284,0,1,50093,0,0,0,0,0,119,0,24,0,0,0,0,245,0,0,0,0,0,388,0,0,590,388,0.992708874098054,0.12053668025532305,2024
29007,0,1,50096,0,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,15,1,1000,0,15,0.992708874098054,0.12053668025532305,2024
25864,0,1,50097,0,813,0,0,0,45,0,0,0,0,168,0,0,0,600,0,0,0,813,1,2500,0,813,0.992708874098054,0.12053668025532305,2024
24876,0,1,50098,0,0,0,908,229,234,0,0,0,0,0,521,0,0,0,238,229,0,2359,0,0,2732,2359,0.992708874098054,0.12053668025532305,2024
25305,0,1,50099,0,892,0,0,0,432,0,0,0,0,432,0,432,0,432,0,864,0,2592,0,0,1700,2592,0.992708874098054,0.12053668025532305,2024
27437,0,1,50101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562,0,0,0,562,0,0,1550,562,0.992708874098054,0.12053668025532305,2024
26054,0,1,50102,0,0,0,0,0,0,0,0,0,0,0,0,0,367,0,0,0,0,367,0,0,1425,367,0.992708874098054,0.12053668025532305,2024
25929,0,1,50104,0,13,0,0,0,0,0,73,0,0,78,0,0,0,0,0,0,42,193,1,1000,180,193,0.992708874098054,0.12053668025532305,2024
24825,0,1,50105,0,0,0,0,0,0,0,0,0,0,0,832,0,0,0,0,0,0,832,0,0,2233,832,0.992708874098054,0.12053668025532305,2024
24486,0,1,50106,0,0,0,206,166,0,125,0,0,0,387,0,181,0,284,0,0,0,1349,0,0,2320,1349,0.992708874098054,0.12053668025532305,2024
26113,0,1,50107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,80,0,0,310,80,0.992708874098054,0.12053668025532305,2024
29103,0,1,50108,0,89,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,89,1,1000,0,89,0.992708874098054,0.12053668025532305,2024
25006,0,1,50109,1500,240,0,681,319,0,344,413,0,0,0,454,567,612,567,259,564,319,5099,0,0,3359,5099,0.992708874098054,0.12053668025532305,2024
25506,0,1,50111,0,0,0,80,0,0,16,0,0,0,0,54,0,0,0,0,67,0,217,0,0,520,217,0.992708874098054,0.12053668025532305,2024
27987,0,1,50112,0,126,140,0,0,0,63,0,0,0,0,0,0,63,0,0,0,0,266,1,1000,0,126,0.992708874098054,0.12053668025532305,2024
27134,0,1,50114,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,60,0,0,370,60,0.992708874098054,0.12053668025532305,2024
27365,0,1,50115,0,676,0,0,0,0,0,0,0,0,364,0,0,0,0,0,0,312,676,1,2500,0,676,0.992708874098054,0.12053668025532305,2024
25459,0,1,50116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780,0,0,780,1,0,1720,780,0.992708874098054,0.12053668025532305,2024
25790,0,1,50117,0,190,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,190,1,2500,0,190,0.992708874098054,0.12053668025532305,2024
26175,0,1,50118,0,0,0,0,0,0,0,0,130,0,0,170,360,0,0,0,0,310,970,0,0,2550,970,0.992708874098054,0.12053668025532305,2024
25584,0,1,50119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,99,0,0,1044,99,0.992708874098054,0.12053668025532305,2024
24952,0,1,50123,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,170,13,0.992708874098054,0.12053668025532305,2024
25664,0,1,50126,0,0,0,0,0,0,70,0,0,0,501,0,0,0,212,416,0,67,1266,0,0,1500,1266,0.992708874098054,0.12053668025532305,2024
26044,0,1,50127,0,0,0,0,0,1496,0,0,0,0,0,0,5377,0,0,0,1681,1725,10279,0,0,13331,10279,0.992708874098054,0.12053668025532305,2024
25657,0,1,50128,0,0,0,3455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3455,0,0,4460,3455,0.992708874098054,0.12053668025532305,2024
26603,0,1,50130,0,0,0,0,304,0,0,0,0,0,0,0,0,0,477,0,0,0,781,0,0,900,781,0.992708874098054,0.12053668025532305,2024
28465,0,1,50131,0,0,0,0,1351,0,0,0,0,0,1554,0,0,0,2104,0,0,0,5009,0,0,5750,5009,0.992708874098054,0.12053668025532305,2024
28971,0,1,50132,0,0,0,0,567,0,0,0,0,0,0,567,0,0,0,4,0,0,1138,0,0,3590,1138,0.992708874098054,0.12053668025532305,2024
24888,0,1,50134,0,373,0,0,0,2528,0,0,0,0,0,0,5816,2293,0,0,0,2040,12677,0,0,12304,12677,0.992708874098054,0.12053668025532305,2024
28708,0,1,50135,0,196,0,0,133,0,0,0,0,0,0,0,0,0,0,0,63,0,196,1,1000,0,196,0.992708874098054,0.12053668025532305,2024
25780,0,1,50136,0,303,0,144,0,0,0,0,0,0,0,0,108,0,0,0,0,51,303,1,2500,0,303,0.992708874098054,0.12053668025532305,2024
27417,0,1,50138,0,134,0,1224,581,0,0,0,0,0,0,0,0,0,1033,0,915,0,3753,0,0,3619,3753,0.992708874098054,0.12053668025532305,2024
24779,0,1,50140,0,1872,0,0,0,423,0,0,0,3752,0,0,0,1314,0,0,0,0,5872,0,0,4000,5872,0.992708874098054,0.12053668025532305,2024
26766,0,1,50143,0,0,0,0,0,0,0,0,0,0,302,0,0,0,0,0,0,0,302,0,0,2640,302,0.992708874098054,0.12053668025532305,2024
27232,0,1,50144,0,0,0,0,0,0,903,0,0,0,0,0,0,0,4079,0,0,0,4982,0,0,5350,4982,0.992708874098054,0.12053668025532305,2024
25810,0,1,50145,0,118,0,0,0,0,0,0,0,0,47,0,0,19,0,0,52,0,118,1,500,0,118,0.992708874098054,0.12053668025532305,2024
27055,0,1,50146,0,198,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,198,1,1000,0,198,0.992708874098054,0.12053668025532305,2024
28927,0,1,50147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,82,429,0,0,1040,429,0.992708874098054,0.12053668025532305,2024
27695,0,1,50133,0,282,0,0,0,0,158,0,0,0,788,0,0,0,586,0,0,0,1532,0,1000,1250,1532,0.992708874098054,0.12053668025532305,2024
26770,0,1,50103,0,180,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,180,1,1000,0,180,0.992708874098054,0.12053668025532305,2024
27996,0,1,50120,0,0,0,0,0,0,0,0,0,0,172,0,0,66,172,0,0,0,410,0,1000,500,410,0.992708874098054,0.12053668025532305,2024
25888,0,1,50142,0,1380,0,0,0,113,0,0,0,0,0,577,720,0,720,0,0,0,2130,0,2000,750,2130,0.992708874098054,0.12053668025532305,2024
24900,0,1,50122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,366,0,1000,524,366,0.992708874098054,0.12053668025532305,2024
24467,0,1,50139,0,1688,0,0,0,0,0,0,0,0,0,0,0,543,0,0,0,1615,2158,0,3000,470,2158,0.992708874098054,0.12053668025532305,2024
27712,0,1,50124,0,214,0,119,0,0,0,119,0,0,0,119,0,0,119,0,238,0,714,0,500,500,714,0.992708874098054,0.12053668025532305,2024
25417,0,1,50121,0,3460,0,2540,0,0,0,0,0,0,0,0,0,0,0,0,0,2740,5280,0,5000,1820,5280,0.992708874098054,0.12053668025532305,2024
25468,0,1,50113,0,0,0,0,0,0,0,0,0,0,0,1289,0,0,2858,0,0,0,4147,0,500,4830,4147,0.992708874098054,0.12053668025532305,2024
27343,0,1,50125,0,0,0,0,0,0,194,0,0,0,0,1017,0,0,0,1008,0,0,2219,0,2500,2500,2219,0.992708874098054,0.12053668025532305,2024
27440,0,1,50110,0,509,0,0,0,0,0,0,0,0,0,0,0,0,0,509,0,0,509,1,1000,0,509,0.992708874098054,0.12053668025532305,2024
27596,0,1,50129,0,358,0,312,661,0,0,0,0,0,0,0,356,0,413,96,0,0,1838,1,1000,1480,1838,0.992708874098054,0.12053668025532305,2024
27915,0,1,50137,0,0,0,248,0,0,0,0,0,0,0,0,523,0,0,0,0,0,771,1,1000,930,771,0.992708874098054,0.12053668025532305,2024
26564,0,1,50148,0,252,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,252,1,1000,0,252,0.992708874098054,0.12053668025532305,2024
26514,0,1,50150,0,376,0,188,0,0,0,0,0,0,0,0,0,188,0,0,0,0,376,1,1000,0,376,0.992708874098054,0.12053668025532305,2024
25461,0,1,50151,0,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,0,520,1,0,0,520,0.992708874098054,0.12053668025532305,2024
29119,0,1,50152,0,171,309,0,0,0,0,0,0,0,0,0,142,0,29,0,0,0,480,1,1000,0,171,0.992708874098054,0.12053668025532305,2024
29150,0,1,50153,2000,0,0,0,0,0,0,0,0,0,0,2269,0,0,0,0,0,0,2269,0,0,3359,2269,0.992708874098054,0.12053668025532305,2024
28518,0,1,50154,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,170,0,0,0,170,0.992708874098054,0.12053668025532305,2024
27161,0,1,50155,0,0,0,476,40,37,37,37,0,0,0,0,0,0,0,83,50,43,803,0,0,905,803,0.992708874098054,0.12053668025532305,2024
26001,0,1,50156,0,0,0,0,378,0,0,0,0,0,1701,0,0,360,0,0,1002,0,3441,0,0,3720,3441,0.992708874098054,0.12053668025532305,2024
26974,0,1,50157,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,126,1,0,775,126,0.992708874098054,0.12053668025532305,2024
27810,0,1,50158,0,1115,0,5,0,0,0,0,0,0,580,0,0,509,0,21,0,0,1115,1,2500,0,1115,0.992708874098054,0.12053668025532305,2024
24853,0,1,50159,0,0,720,0,0,0,0,167,0,0,0,0,0,561,0,555,0,730,2733,0,0,2870,2013,0.992708874098054,0.12053668025532305,2024
24972,0,1,50161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,58,0,0,390,58,0.992708874098054,0.12053668025532305,2024
26440,0,1,50162,0,0,0,0,346,0,0,0,0,0,692,0,0,0,346,0,0,0,1384,0,0,2270,1384,0.992708874098054,0.12053668025532305,2024
27796,0,1,50163,0,0,0,1330,0,1018,0,0,0,0,0,0,1175,1264,0,0,1903,0,6690,0,0,9480,6690,0.992708874098054,0.12053668025532305,2024
27241,0,1,50164,9000,0,0,3264,779,0,2343,1002,0,0,0,3171,0,946,1533,0,1169,1719,15926,0,0,13778,15926,0.992708874098054,0.12053668025532305,2024
29081,0,1,50166,0,63,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,1,1000,0,63,0.992708874098054,0.12053668025532305,2024
24487,0,1,50169,2000,0,1500,0,0,0,0,0,0,0,0,1338,0,0,0,0,1605,0,4443,0,0,5300,2943,0.992708874098054,0.12053668025532305,2024
28361,0,1,50170,0,560,0,0,0,310,0,0,0,0,0,0,0,250,0,0,0,0,560,1,1000,0,560,0.992708874098054,0.12053668025532305,2024
24766,0,1,50171,0,0,0,0,0,269,0,0,0,0,0,0,0,850,0,0,0,0,1119,0,0,1650,1119,0.992708874098054,0.12053668025532305,2024
26525,0,1,50173,0,0,340,0,340,0,340,0,0,0,0,0,680,0,0,680,0,0,2380,0,0,2680,2040,0.992708874098054,0.12053668025532305,2024
28360,0,1,50174,0,240,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,240,1,1000,0,240,0.992708874098054,0.12053668025532305,2024
26602,0,1,50175,0,0,0,0,0,120,0,0,0,0,0,177,0,0,120,0,0,0,417,0,0,1940,417,0.992708874098054,0.12053668025532305,2024
29166,0,1,50176,0,0,0,0,0,145,0,142,0,0,0,0,917,0,527,0,139,142,2012,0,0,3377,2012,0.992708874098054,0.12053668025532305,2024
27952,0,1,50177,0,620,0,0,0,0,330,0,0,0,0,0,0,0,0,290,0,0,620,1,1000,0,620,0.992708874098054,0.12053668025532305,2024
24784,0,1,50179,0,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,0,405,1,0,0,405,0.992708874098054,0.12053668025532305,2024
25336,0,1,50181,0,286,0,160,0,63,0,0,0,0,0,0,0,0,0,0,63,0,286,1,1000,0,286,0.992708874098054,0.12053668025532305,2024
27612,0,1,50184,0,0,0,390,0,0,0,0,139,0,0,0,0,359,0,279,0,0,1167,0,0,1500,1167,0.992708874098054,0.12053668025532305,2024
26535,0,1,50186,0,0,0,1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260,0,0,13700,1260,0.992708874098054,0.12053668025532305,2024
28118,0,1,50187,0,253,0,0,0,0,0,0,0,0,101,0,0,0,0,0,152,0,253,1,1000,0,253,0.992708874098054,0.12053668025532305,2024
25357,0,1,50188,0,0,0,872,0,0,242,197,0,0,0,0,0,279,250,0,0,410,2250,0,0,3230,2250,0.992708874098054,0.12053668025532305,2024
28202,0,1,50189,0,0,0,0,378,0,0,0,0,0,7,0,278,0,0,486,0,0,1149,0,0,1490,1149,0.992708874098054,0.12053668025532305,2024
27961,0,1,50190,0,390,0,0,0,0,0,0,0,0,0,220,0,0,0,0,170,0,390,1,1000,0,390,0.992708874098054,0.12053668025532305,2024
27274,0,1,50191,0,0,416,0,0,322,0,0,0,0,0,0,0,0,171,0,0,0,909,0,0,1544,493,0.992708874098054,0.12053668025532305,2024
27501,0,1,50193,0,0,0,0,0,0,107,0,0,0,0,704,0,0,0,0,0,0,811,0,0,1310,811,0.992708874098054,0.12053668025532305,2024
26466,0,1,50194,0,0,0,0,0,0,0,0,0,0,0,375,0,0,0,0,0,0,375,1,0,1150,375,0.992708874098054,0.12053668025532305,2024
28291,0,1,50182,0,2438,0,1018,797,0,0,262,0,0,0,1257,0,1358,810,0,923,0,6425,0,3500,3987,6425,0.992708874098054,0.12053668025532305,2024
24898,0,1,50185,0,1561,180,0,334,118,526,124,0,0,0,1113,198,0,433,118,322,0,3466,0,2000,1725,3286,0.992708874098054,0.12053668025532305,2024
25874,0,1,50167,0,420,0,227,124,108,0,0,0,0,0,0,0,0,0,186,135,0,780,0,1000,360,780,0.992708874098054,0.12053668025532305,2024
24691,0,1,50168,0,1477,0,0,0,0,437,0,0,0,735,0,476,0,840,0,903,586,3977,0,2500,2500,3977,0.992708874098054,0.12053668025532305,2024
